transaction_id,timestamp,user_id,receiver_id,amount,sender_bank,receiver_bank,device_id,device_type,city,state,transaction_type,merchant_category,transaction_status,is_fraud,fraud_scenario
T0001571,2026-01-03 18:49:58,U0604,R1479,470.67,Bank_D,Bank_D,D0604_1,Android,Chennai,Tamil Nadu,P2P,Other,SUCCESS,0,none
T0001641,2026-01-03 21:43:51,U1729,R1102,253.83,Bank_A,Bank_E,D1729_1,Android,Kolkata,West Bengal,P2P,Utilities,SUCCESS,0,none
T0001813,2026-01-04 04:37:32,U1474,R0298,106.0,Bank_B,Bank_A,D1474_2,Android,Delhi,Delhi,BillPay,Other,SUCCESS,0,none
T0001823,2026-01-04 04:52:06,U1066,R2396,667.99,Bank_C,Bank_A,D1066_1,Android,Bengaluru,Karnataka,P2P,Food,SUCCESS,0,none
T0001901,2026-01-04 08:23:05,U1881,R3966,1103.02,Bank_E,Bank_B,D1881_2,Android,Jaipur,Rajasthan,Recharge,Healthcare,SUCCESS,0,none
T0001942,2026-01-04 10:05:34,U0395,R1159,983.05,Bank_B,Bank_D,D0395_2,iOS,Kolkata,West Bengal,P2M,Travel,SUCCESS,0,none
T0002009,2026-01-04 12:56:43,U0369,R1499,1159.28,Bank_D,Bank_B,D0369_2,iOS,Pune,Maharashtra,P2P,Travel,SUCCESS,0,none
T0002190,2026-01-04 19:49:34,U0606,R3579,77.71,Bank_B,Bank_A,D0606_2,iOS,Kolkata,West Bengal,P2P,Other,SUCCESS,0,none
T0002355,2026-01-05 02:31:11,U1214,R4647,289.96,Bank_A,Bank_D,D1214_1,iOS,Bengaluru,Karnataka,P2P,Groceries,SUCCESS,0,none
T0002531,2026-01-05 10:47:22,U1288,R2660,2988.2,Bank_E,Bank_A,D1288_2,Android,Delhi,Delhi,P2M,Other,SUCCESS,0,none
T0002730,2026-01-05 19:17:11,U1580,R1938,577.79,Bank_A,Bank_A,D1580_2,Android,Bengaluru,Karnataka,P2P,Healthcare,SUCCESS,0,none
T0002742,2026-01-05 19:49:52,U1413,R1944,115.75,Bank_E,Bank_D,D1413_2,iOS,Pune,Maharashtra,P2P,Groceries,SUCCESS,0,none
T0002792,2026-01-05 21:48:39,U1765,R3565,304.21,Bank_E,Bank_E,D1765_1,iOS,Pune,Maharashtra,P2M,Other,SUCCESS,0,none
T0002955,2026-01-06 06:01:58,U1309,R3931,228.87,Bank_A,Bank_C,D1309_1,Android,Chennai,Tamil Nadu,P2M,Food,SUCCESS,0,none
T0003004,2026-01-06 08:10:36,U1037,R0510,763.7,Bank_B,Bank_B,D1037_1,iOS,Delhi,Delhi,P2P,Travel,SUCCESS,0,none
T0003017,2026-01-06 08:55:55,U1628,R1587,232.22,Bank_D,Bank_B,D1628_1,Android,Kolkata,West Bengal,BillPay,Utilities,SUCCESS,0,none
T0003086,2026-01-06 12:03:31,U0006,R0408,148.01,Bank_E,Bank_C,NEW_89832,Android,Chennai,Tamil Nadu,BillPay,Groceries,SUCCESS,0,none
T0003105,2026-01-06 13:05:25,U0404,R2450,24.7,Bank_B,Bank_A,D0404_1,Android,Pune,Maharashtra,BillPay,Other,SUCCESS,0,none
T0003157,2026-01-06 15:54:11,U0338,R2191,604.7,Bank_D,Bank_D,D0338_2,Android,Pune,Maharashtra,P2M,Other,SUCCESS,0,none
T0003212,2026-01-06 18:08:16,U0655,R0941,303.04,Bank_B,Bank_C,D0655_1,Android,Delhi,Delhi,P2M,Utilities,SUCCESS,0,none
T0003222,2026-01-06 18:41:11,U0883,R0647,4285.57,Bank_A,Bank_B,D0883_1,Android,Kolkata,West Bengal,P2P,Utilities,SUCCESS,0,none
T0003420,2026-01-07 03:38:42,U1537,R2712,51.31,Bank_D,Bank_E,D1537_1,Android,Bengaluru,Karnataka,P2M,Travel,SUCCESS,0,none
T0003427,2026-01-07 03:51:43,U1889,R2207,349.75,Bank_E,Bank_E,D1889_1,iOS,Chennai,Tamil Nadu,P2P,Healthcare,SUCCESS,0,none
T0003494,2026-01-07 06:53:30,U0404,R0690,300.17,Bank_B,Bank_E,D0404_2,Android,Pune,Maharashtra,P2P,Travel,SUCCESS,0,none
T0003698,2026-01-07 16:49:22,U1280,R1544,966.6,Bank_A,Bank_E,D1280_1,Android,Pune,Maharashtra,P2M,Travel,SUCCESS,0,none
T0003733,2026-01-07 18:18:15,U1588,R3931,491.05,Bank_D,Bank_A,D1588_1,Android,Mumbai,Maharashtra,P2M,Other,SUCCESS,0,none
T0003752,2026-01-07 19:06:58,U1680,R2421,430.0,Bank_C,Bank_E,D1680_1,Android,Delhi,Delhi,P2M,Healthcare,SUCCESS,0,none
T0003851,2026-01-07 23:18:49,U0935,R0785,77.05,Bank_B,Bank_B,D0935_1,Android,Mumbai,Maharashtra,P2P,Travel,SUCCESS,1,subtle
T0003863,2026-01-07 23:50:43,U0675,R0796,123.93,Bank_B,Bank_E,D0675_2,Android,Chennai,Tamil Nadu,BillPay,Other,SUCCESS,0,none
T0003919,2026-01-08 01:41:42,U1868,R0685,4829.24,Bank_D,Bank_B,D1868_1,Android,Hyderabad,Telangana,BillPay,Healthcare,SUCCESS,0,none
T0003929,2026-01-08 02:02:16,U1713,R0164,985.78,Bank_E,Bank_A,D1713_1,iOS,Jaipur,Rajasthan,BillPay,Travel,SUCCESS,0,none
T0003940,2026-01-08 02:26:16,U1702,R2154,224.68,Bank_E,Bank_D,D1702_1,Android,Bengaluru,Karnataka,P2M,Travel,SUCCESS,0,none
T0003941,2026-01-08 02:27:45,U1587,R1551,121.32,Bank_C,Bank_D,D1587_2,Android,Kolkata,West Bengal,P2M,Groceries,SUCCESS,0,none
T0004029,2026-01-08 06:23:51,U1323,R2958,737.76,Bank_B,Bank_C,D1323_1,Android,Hyderabad,Telangana,P2P,Food,SUCCESS,0,none
T0004040,2026-01-08 06:47:51,U1227,R3380,198.18,Bank_C,Bank_A,D1227_2,Android,Chennai,Tamil Nadu,P2P,Shopping,SUCCESS,0,none
T0004065,2026-01-08 07:44:46,U0702,R2243,3356.59,Bank_E,Bank_A,NEW_64910,Android,Bengaluru,Karnataka,P2M,Shopping,SUCCESS,0,none
T0004071,2026-01-08 07:55:59,U0418,R1545,761.16,Bank_A,Bank_D,D0418_1,Android,Jaipur,Rajasthan,P2P,Healthcare,SUCCESS,0,none
T0004087,2026-01-08 08:44:11,U0894,R3529,1300.85,Bank_B,Bank_C,D0894_1,Android,Kolkata,West Bengal,P2P,Food,SUCCESS,0,none
T0004108,2026-01-08 09:30:43,U0751,R1231,482.12,Bank_C,Bank_A,D0751_1,iOS,Hyderabad,Telangana,BillPay,Food,SUCCESS,0,none
T0004145,2026-01-08 11:31:00,U0554,R2102,188.87,Bank_D,Bank_B,D0554_1,iOS,Bengaluru,Karnataka,BillPay,Healthcare,SUCCESS,0,none
T0004169,2026-01-08 12:29:11,U1672,R5268,5102.0,Bank_B,Bank_D,D1672_2,Android,Chennai,Tamil Nadu,Recharge,Travel,SUCCESS,0,none
T0004247,2026-01-08 15:26:53,U1109,R1477,1376.22,Bank_C,Bank_B,D1109_2,Android,Kolkata,West Bengal,P2M,Groceries,SUCCESS,0,none
T0004348,2026-01-08 19:55:32,U0444,R1255,689.37,Bank_B,Bank_D,D0444_1,Android,Pune,Maharashtra,P2P,Travel,SUCCESS,0,none
T0004363,2026-01-08 20:35:37,U0262,R2007,289.77,Bank_A,Bank_D,D0262_1,iOS,Mumbai,Maharashtra,P2P,Food,SUCCESS,0,none
T0004470,2026-01-09 00:59:47,U1530,R0706,401.07,Bank_C,Bank_C,D1530_1,Android,Jaipur,Rajasthan,P2M,Shopping,SUCCESS,0,none
T0004514,2026-01-09 02:41:50,U0412,R2299,224.43,Bank_B,Bank_B,D0412_1,Android,Jaipur,Rajasthan,P2P,Utilities,SUCCESS,0,none
T0004614,2026-01-09 06:46:52,U1645,R5613,680.29,Bank_C,Bank_D,D1645_1,Android,Delhi,Delhi,P2P,Food,SUCCESS,0,none
T0004773,2026-01-09 14:50:07,U1501,R1471,243.92,Bank_E,Bank_D,D1501_2,Android,Hyderabad,Telangana,P2M,Food,SUCCESS,0,none
T0004789,2026-01-09 15:36:02,U0470,R4045,557.67,Bank_B,Bank_E,D0470_1,Android,Hyderabad,Telangana,P2P,Utilities,SUCCESS,0,none
T0004814,2026-01-09 16:41:17,U1645,R0491,282.55,Bank_E,Bank_A,D1645_1,iOS,Hyderabad,Telangana,P2M,Travel,SUCCESS,0,none
T0004818,2026-01-09 16:50:58,U0589,R2849,1442.21,Bank_B,Bank_B,D0589_2,iOS,Hyderabad,Telangana,P2M,Healthcare,FAILED,0,none
T0004851,2026-01-09 18:09:45,U1555,R4308,1530.87,Bank_A,Bank_E,D1555_1,Android,Mumbai,Maharashtra,P2P,Healthcare,SUCCESS,0,none
T0004879,2026-01-09 19:28:02,U1483,R0428,748.77,Bank_E,Bank_C,D1483_2,Android,Kolkata,West Bengal,P2M,Shopping,SUCCESS,0,none
T0004893,2026-01-09 19:59:40,U1174,R1082,72.23,Bank_C,Bank_B,D1174_1,Android,Chennai,Tamil Nadu,P2M,Utilities,SUCCESS,0,none
T0004970,2026-01-09 23:33:00,U1823,R4472,2703.76,Bank_B,Bank_C,D1823_2,iOS,Hyderabad,Telangana,P2M,Food,SUCCESS,0,none
T0005049,2026-01-10 03:02:05,U0512,R2091,530.96,Bank_A,Bank_D,D0512_2,iOS,Delhi,Delhi,P2M,Groceries,SUCCESS,0,none
T0005072,2026-01-10 03:50:30,U1474,R0991,261.18,Bank_E,Bank_D,D1474_2,Android,Delhi,Delhi,BillPay,Groceries,SUCCESS,0,none
T0005087,2026-01-10 04:30:54,U1695,R3738,287.19,Bank_A,Bank_C,NEW_76320,Android,Bengaluru,Karnataka,BillPay,Travel,SUCCESS,0,none
T0005223,2026-01-10 10:26:45,U1647,R2203,820.09,Bank_B,Bank_A,D1647_1,iOS,Bengaluru,Karnataka,P2M,Healthcare,SUCCESS,0,none
T0005396,2026-01-10 17:47:36,U0005,R3383,850.95,Bank_E,Bank_C,D0005_1,Android,Mumbai,Maharashtra,P2M,Travel,SUCCESS,0,none
T0005504,2026-01-10 22:26:59,U0751,R0401,608.87,Bank_A,Bank_A,D0751_1,Android,Hyderabad,Telangana,BillPay,Other,SUCCESS,0,none
T0005546,2026-01-11 00:00:26,U1645,R1959,1745.52,Bank_A,Bank_E,D1645_1,iOS,Delhi,Delhi,P2P,Utilities,SUCCESS,0,none
T0005634,2026-01-11 04:11:46,U1334,R2263,301.0,Bank_E,Bank_A,D1334_1,iOS,Mumbai,Maharashtra,P2M,Groceries,SUCCESS,0,none
T0005804,2026-01-11 11:15:16,U0199,R0904,1311.65,Bank_E,Bank_C,D0199_1,Android,Pune,Maharashtra,P2M,Travel,SUCCESS,0,none
T0005824,2026-01-11 12:00:32,U0353,R1642,223.67,Bank_A,Bank_C,D0353_1,Android,Hyderabad,Telangana,P2M,Healthcare,SUCCESS,0,none
T0005866,2026-01-11 13:44:57,U0664,R1814,659.1,Bank_E,Bank_E,D0664_2,Android,Jaipur,Rajasthan,P2P,Healthcare,SUCCESS,0,none
T0005875,2026-01-11 14:04:55,U1224,R1487,296.65,Bank_B,Bank_B,D1224_1,iOS,Chennai,Tamil Nadu,P2M,Utilities,SUCCESS,0,none
T0005947,2026-01-11 17:49:13,U1596,R3984,1287.71,Bank_A,Bank_E,D1596_1,iOS,Kolkata,West Bengal,P2M,Healthcare,SUCCESS,0,none
T0005988,2026-01-11 19:59:00,U0656,R3511,1036.28,Bank_E,Bank_D,D0656_1,Android,Kolkata,West Bengal,P2P,Utilities,SUCCESS,0,none
T0006017,2026-01-11 20:56:26,U1864,R0168,25125.78,Bank_E,Bank_C,D1864_2,Android,Bengaluru,Karnataka,Recharge,Food,SUCCESS,0,none
T0006018,2026-01-11 20:57:20,U0396,R3652,264.6,Bank_A,Bank_B,D0396_2,iOS,Mumbai,Maharashtra,P2P,Food,SUCCESS,0,none
T0006021,2026-01-11 21:09:58,U0702,R2460,4849.25,Bank_B,Bank_C,D0702_1,Android,Bengaluru,Karnataka,BillPay,Utilities,SUCCESS,0,none
T0006035,2026-01-11 21:52:24,U1440,R3240,315.12,Bank_E,Bank_E,D1440_1,Android,Hyderabad,Telangana,P2P,Utilities,SUCCESS,0,none
T0006060,2026-01-11 23:21:09,U0879,R2654,117.4,Bank_C,Bank_D,D0879_1,Android,Hyderabad,Telangana,BillPay,Food,SUCCESS,0,none
T0006096,2026-01-12 00:41:03,U1386,R1583,1678.83,Bank_E,Bank_D,D1386_1,Android,Mumbai,Maharashtra,P2P,Groceries,SUCCESS,0,none
T0006114,2026-01-12 01:12:43,U0079,R2678,502.81,Bank_C,Bank_C,D0079_1,Android,Mumbai,Maharashtra,P2M,Healthcare,SUCCESS,0,none
T0006189,2026-01-12 04:10:16,U1587,R2507,294.12,Bank_B,Bank_C,D1587_2,Android,Kolkata,West Bengal,Recharge,Healthcare,SUCCESS,0,none
T0006218,2026-01-12 05:28:33,U1822,R0299,731.89,Bank_D,Bank_D,D1822_2,Android,Bengaluru,Karnataka,Recharge,Other,FAILED,0,none
T0006231,2026-01-12 06:14:13,U1454,R3368,2065.27,Bank_D,Bank_A,D1454_1,iOS,Hyderabad,Telangana,P2M,Travel,SUCCESS,0,none
T0006233,2026-01-12 06:22:46,U0484,R1264,1029.75,Bank_B,Bank_E,D0484_1,iOS,Chennai,Tamil Nadu,P2P,Travel,SUCCESS,1,subtle
T0006235,2026-01-12 06:27:27,U1558,R2019,127.96,Bank_A,Bank_A,D1558_1,Android,Hyderabad,Telangana,P2M,Other,SUCCESS,0,none
T0006245,2026-01-12 06:55:31,U0449,R1638,401.63,Bank_E,Bank_D,D0449_1,iOS,Pune,Maharashtra,BillPay,Food,SUCCESS,0,none
T0006355,2026-01-12 11:42:25,U0702,R3055,544.1,Bank_C,Bank_D,D0702_1,Android,Bengaluru,Karnataka,P2M,Food,SUCCESS,0,none
T0006414,2026-01-12 13:55:38,U1153,R3820,235.85,Bank_C,Bank_A,D1153_1,Android,Pune,Maharashtra,P2M,Shopping,SUCCESS,0,none
T0006557,2026-01-12 21:05:32,U0654,R1362,2828.46,Bank_D,Bank_D,D0654_1,Android,Pune,Maharashtra,P2M,Groceries,SUCCESS,0,none
T0006624,2026-01-12 23:59:10,U0086,R0132,899.47,Bank_D,Bank_C,D0086_2,Android,Kolkata,West Bengal,P2P,Food,SUCCESS,0,none
T0006657,2026-01-13 01:03:29,U1967,R0491,304.06,Bank_E,Bank_D,D1967_1,iOS,Pune,Maharashtra,P2M,Travel,SUCCESS,0,none
T0006716,2026-01-13 03:16:27,U0513,R3298,1851.67,Bank_B,Bank_C,D0513_1,Android,Mumbai,Maharashtra,P2M,Utilities,FAILED,0,none
T0006721,2026-01-13 03:24:07,U1765,R1990,214.28,Bank_C,Bank_D,D1765_1,iOS,Pune,Maharashtra,P2M,Healthcare,SUCCESS,0,none
T0006749,2026-01-13 04:51:35,U1618,R2532,1492.34,Bank_B,Bank_A,D1618_2,Android,Kolkata,West Bengal,P2M,Other,SUCCESS,0,none
T0006809,2026-01-13 07:16:01,U0395,R3811,843.3,Bank_B,Bank_B,D0395_2,Android,Kolkata,West Bengal,P2P,Food,SUCCESS,0,none
T0006849,2026-01-13 09:01:27,U1728,R2035,276.99,Bank_C,Bank_A,D1728_1,Android,Hyderabad,Telangana,P2M,Utilities,SUCCESS,0,none
T0006926,2026-01-13 12:35:23,U1847,R3714,224.22,Bank_A,Bank_B,D1847_1,Android,Pune,Maharashtra,Recharge,Healthcare,SUCCESS,0,none
T0006944,2026-01-13 13:26:58,U0642,R2867,332.74,Bank_D,Bank_A,D0642_1,Android,Mumbai,Maharashtra,P2M,Groceries,SUCCESS,0,none
T0006949,2026-01-13 13:33:04,U1468,R2332,5427.01,Bank_A,Bank_B,D1468_2,iOS,Delhi,Delhi,P2P,Other,SUCCESS,0,none
T0007135,2026-01-13 21:47:10,U0067,R4814,326.04,Bank_A,Bank_C,D0067_1,Android,Delhi,Delhi,P2M,Travel,SUCCESS,0,none
T0007143,2026-01-13 22:15:48,U0338,R1818,510.31,Bank_C,Bank_D,D0338_1,iOS,Pune,Maharashtra,P2P,Food,SUCCESS,0,none
T0007181,2026-01-14 00:13:06,U0541,R0427,299.57,Bank_E,Bank_C,D0541_1,Android,Jaipur,Rajasthan,P2P,Healthcare,SUCCESS,0,none
T0007202,2026-01-14 01:23:24,U1576,R1726,462.06,Bank_B,Bank_E,D1576_2,Android,Chennai,Tamil Nadu,Recharge,Other,SUCCESS,0,none
T0007206,2026-01-14 01:31:27,U0115,R5595,276.06,Bank_D,Bank_A,D0115_1,Android,Kolkata,West Bengal,P2M,Food,SUCCESS,0,none
T0007531,2026-01-14 15:57:17,U1105,R1186,2018.52,Bank_B,Bank_E,D1105_1,Android,Jaipur,Rajasthan,P2M,Food,SUCCESS,0,none
T0007625,2026-01-14 19:43:16,U1150,R3362,214.12,Bank_A,Bank_C,D1150_1,Android,Hyderabad,Telangana,BillPay,Other,SUCCESS,0,none
T0007683,2026-01-14 21:58:23,U0693,R0992,178.05,Bank_D,Bank_A,D0693_1,Android,Pune,Maharashtra,P2M,Food,SUCCESS,0,none
T0007754,2026-01-15 00:57:04,U0884,R1761,1460.14,Bank_C,Bank_C,D0884_2,Android,Kolkata,West Bengal,P2M,Shopping,SUCCESS,0,none
T0007822,2026-01-15 04:17:03,U1035,R1900,428.91,Bank_D,Bank_E,D1035_1,Android,Hyderabad,Telangana,P2P,Travel,SUCCESS,0,none
T0007823,2026-01-15 04:18:13,U0028,R2868,291.9,Bank_D,Bank_C,D0028_2,Android,Pune,Maharashtra,P2P,Food,SUCCESS,0,none
T0007842,2026-01-15 05:00:43,U1303,R0383,173.26,Bank_D,Bank_A,D1303_1,Android,Chennai,Tamil Nadu,P2P,Other,SUCCESS,0,none
T0007882,2026-01-15 06:41:47,U1982,R2881,154.19,Bank_A,Bank_B,D1982_2,Android,Hyderabad,Telangana,P2M,Food,SUCCESS,0,none
T0007892,2026-01-15 07:10:52,U0888,R1963,201.67,Bank_D,Bank_C,NEW_8260,Android,Jaipur,Rajasthan,P2M,Groceries,FAILED,0,none
T0007906,2026-01-15 07:48:38,U0266,R3362,796.59,Bank_D,Bank_C,D0266_1,Android,Hyderabad,Telangana,P2P,Other,SUCCESS,0,none
T0008038,2026-01-15 13:25:05,U1864,R3973,1110.29,Bank_D,Bank_A,D1864_2,Android,Bengaluru,Karnataka,P2P,Other,SUCCESS,0,none
T0008086,2026-01-15 15:22:21,U0702,R2460,3080.56,Bank_E,Bank_E,D0702_1,Android,Bengaluru,Karnataka,P2M,Groceries,SUCCESS,0,none
T0008231,2026-01-15 21:47:39,U0550,R0882,149.83,Bank_D,Bank_B,D0550_1,Android,Jaipur,Rajasthan,P2P,Food,SUCCESS,0,none
T0008271,2026-01-15 23:51:38,U1608,R3434,141.25,Bank_A,Bank_A,D1608_1,Android,Kolkata,West Bengal,P2M,Utilities,FAILED,0,none
T0008467,2026-01-16 09:00:27,U1429,R0079,326.19,Bank_D,Bank_E,D1429_2,Android,Kolkata,West Bengal,P2M,Food,SUCCESS,0,none
T0008565,2026-01-16 13:04:26,U1312,R1572,498.08,Bank_E,Bank_C,D1312_1,Android,Delhi,Delhi,P2P,Other,SUCCESS,0,none
T0008691,2026-01-16 18:46:19,U0418,R3396,227.2,Bank_D,Bank_B,D0418_2,iOS,Jaipur,Rajasthan,P2P,Utilities,SUCCESS,0,none
T0008719,2026-01-16 19:43:45,U0071,R0617,473.54,Bank_A,Bank_B,D0071_1,iOS,Kolkata,West Bengal,BillPay,Travel,SUCCESS,0,none
T0008740,2026-01-16 20:39:51,U1855,R2374,232.33,Bank_A,Bank_A,D1855_2,Android,Kolkata,West Bengal,Recharge,Travel,SUCCESS,0,none
T0008837,2026-01-17 01:22:08,U1408,R2690,430.97,Bank_C,Bank_B,D1408_1,Android,Mumbai,Maharashtra,P2P,Utilities,SUCCESS,0,none
T0008884,2026-01-17 03:37:02,U1576,R3710,258.64,Bank_C,Bank_B,D1576_2,Android,Chennai,Tamil Nadu,BillPay,Food,SUCCESS,0,none
T0008894,2026-01-17 04:08:14,U1428,R0698,1853.27,Bank_D,Bank_B,D1428_1,Android,Hyderabad,Telangana,P2M,Shopping,SUCCESS,0,none
T0008995,2026-01-17 08:25:16,U0491,R3801,1655.22,Bank_E,Bank_B,D0491_1,iOS,Chennai,Tamil Nadu,P2P,Healthcare,SUCCESS,0,none
T0009059,2026-01-17 11:10:24,U0205,R0975,362.75,Bank_B,Bank_E,NEW_57724,iOS,Jaipur,Rajasthan,P2P,Utilities,SUCCESS,0,none
T0009226,2026-01-17 18:35:18,U1690,R1165,124.07,Bank_A,Bank_B,D1690_1,Android,Chennai,Tamil Nadu,P2P,Utilities,SUCCESS,0,none
T0009283,2026-01-17 20:52:55,U0101,R3692,410.26,Bank_A,Bank_D,D0101_1,Android,Jaipur,Rajasthan,P2P,Utilities,SUCCESS,0,none
T0009332,2026-01-17 23:03:47,U1160,R3511,285.94,Bank_D,Bank_E,D1160_1,Android,Mumbai,Maharashtra,P2P,Other,SUCCESS,0,none
T0009406,2026-01-18 02:38:01,U0063,R4217,329.91,Bank_B,Bank_C,D0063_1,Android,Bengaluru,Karnataka,P2P,Other,SUCCESS,0,none
T0009414,2026-01-18 02:56:11,U1440,R1069,1067.86,Bank_B,Bank_C,D1440_1,Android,Hyderabad,Telangana,P2M,Utilities,SUCCESS,0,none
T0009428,2026-01-18 03:34:35,U1955,R3858,1137.27,Bank_B,Bank_C,D1955_2,iOS,Jaipur,Rajasthan,P2P,Travel,SUCCESS,0,none
T0009507,2026-01-18 07:29:15,U0702,R2243,4239.45,Bank_D,Bank_D,D0702_1,Android,Bengaluru,Karnataka,P2P,Groceries,SUCCESS,0,none
T0009524,2026-01-18 07:49:13,U1383,R1365,203.14,Bank_C,Bank_B,D1383_2,iOS,Jaipur,Rajasthan,P2P,Other,SUCCESS,0,none
T0009614,2026-01-18 12:36:04,U1886,R3132,429.4,Bank_C,Bank_A,D1886_1,Android,Pune,Maharashtra,P2M,Healthcare,SUCCESS,0,none
T0009648,2026-01-18 14:02:16,U1487,R1054,1657.34,Bank_B,Bank_A,D1487_1,Android,Bengaluru,Karnataka,P2P,Groceries,SUCCESS,0,none
T0009802,2026-01-18 20:10:14,U1255,R0504,1101.01,Bank_B,Bank_C,D1255_1,iOS,Chennai,Tamil Nadu,P2P,Travel,SUCCESS,0,none
T0009808,2026-01-18 20:23:34,U0100,R1217,242.45,Bank_A,Bank_A,D0100_1,Android,Mumbai,Maharashtra,P2M,Shopping,SUCCESS,0,none
T0009936,2026-01-19 01:18:53,U0570,R4852,163.07,Bank_E,Bank_E,D0570_1,iOS,Kolkata,West Bengal,P2P,Shopping,SUCCESS,0,none
T0009958,2026-01-19 02:29:04,U0965,R1126,166.07,Bank_E,Bank_E,D0965_1,Android,Kolkata,West Bengal,P2P,Travel,SUCCESS,0,none
T0010075,2026-01-19 08:25:55,U0806,R0360,246.13,Bank_C,Bank_B,D0806_2,iOS,Hyderabad,Telangana,P2P,Utilities,SUCCESS,0,none
T0010193,2026-01-19 13:25:56,U0914,R0525,1300.66,Bank_D,Bank_B,D0914_1,Android,Delhi,Delhi,P2M,Travel,SUCCESS,0,none
T0010431,2026-01-19 23:26:19,U1522,R1519,110.96,Bank_B,Bank_C,D1522_1,Android,Chennai,Tamil Nadu,P2M,Healthcare,SUCCESS,1,location_change
T0010466,2026-01-20 00:53:25,U1880,R2568,1737.93,Bank_D,Bank_E,D1880_1,iOS,Mumbai,Maharashtra,P2M,Food,SUCCESS,0,none
T0010528,2026-01-20 03:01:45,U0835,R0087,189.25,Bank_E,Bank_B,D0835_1,Android,Kolkata,West Bengal,P2M,Utilities,SUCCESS,0,none
